State,Agency Name,URL,Counties Served
,Michigan Advocacy Program,https://miadvocacy.org/welcome,"Barry, Branch, Calhoun, Clinton, Eaton, Hillsdale, Ingham, Jackson, Lenawee, Livingston, Monroe, Shiawassee, Washtenaw"
,"Michigan Indian Legal Services, Inc.",https://sites.google.com/a/mils3.org/www/who-we-are/contact-us,"Native Americans living in all counties in Michigan, including those who live on its Indian Reservations of Keewenaw Bay, Lac Vieux Desert, Hannaville, Bay Mills, Sault Ste Marie, Grand Traverse Band and Isabella"
MN,"Anishinabe Legal Services, Inc.",https://www.alslegal.org/howwecanhelp.html,"Native Americans living within the boundaries of the Leech Lake, White Earth and Red Lake Indian Reservations"
,"Central Minnesota Legal Services, Inc.",https://www.centralmnlegal.org/get-help/,"Anoka, Benton, Big Stone, Chippewa, Chisago, Hennepin, Isanti, Kandiyohi, Lac qui Parle, Lincoln, Lyon, Meeker, Mille Lacs, Morrison, Renville, Sherburne, Stearns, Swift, Todd, Wright, Yellow Medicine"
,Legal Aid Service of Northeastern Minnesota,http://lasnem.org/need-help/,"Aitkin, Carlton, Cass, Cook, Crow Wing, Itasca, Kanabec, Koochiching, Lake, Pine, St. Louis"
,Legal Services of Northwest Minnesota Corporation,https://lsnmlaw.org/services/,"Becker, Beltrami, Clay, Clearwater, Douglas, Grant, Hubbard, Kittson, Lake of the Woods, Mahnomen, Marshall, Norman, Otter Tail, Pennington, Polk, Pope, Red Lake, Roseau, Stevens, Traverse, Wadena, Wilkin"
,"Southern Minnesota Regional Legal Services, Inc.",http://www.smrls.org/get-help,"Blue Earth, Brown, Carver, Cottonwood, Dakota, Dodge, Faribault, Fillmore, Freeborn, Goodhue, Houston, Jackson, Le Sueur, McLeod, Martin, Mower, Murray, Nicollet, Nobles, Olmsted, Pipestone, Ramsey, Redwood, Rice, Rock, Scott, Sibley, Steele, Wabasha, Waseca, Washington, Watonwan, Winona"
MS,Mississippi Center for Legal Services,http://www.mscenterforlegalservices.org/apply-for-help/,"Adams, Amite, Claiborne, Clarke, Copiah, Covington, Forrest, Franklin, George, Greene, Hancock, Harrison, Hinds, Holmes, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lamar, Lauderdale, Lawrence, Leake, Lincoln, Madison, Marion, Neshoba, Newton, Noxubee, Pearl River, Perry, Pike, Rankin, Scott, Simpson, Smith, Stone, Walthall, Warren, Wayne, Wilkinson, Yazoo,Native Americans living on the Choctaw Indian Reservation in the counties of Jones, Leake, Neshoba, Newton, Noxubee, Scott, and Winston"
,"North Mississippi Rural Legal Services, Inc.",http://nmrls.com/,"Alcorn, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Clay, Coahoma, DeSoto, Grenada, Humphreys, Issaquena, Itawamba, Lafayette, Lee, Leflore, Lowndes, Marshall, Monroe, Montgomery, Oktibbeha, Panola, Pontotoc, Prentiss, Quitman, Sharkey, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Washington, Webster, Winston, Yalobusha"
FSM,"Micronesian Legal Services, Inc.",http://micronesianlegal.org/default.asp?secID=50,All
MO,Legal Aid of Western Missouri,https://lawmo.org/get-legal-help/,"Andrew, Atchison, Barton, Bates, Benton, Buchanan, Caldwell, Camden, Carroll, Cass, Clay, Clinton, Daviess, DeKalb, Gentry, Grundy, Harrison, Henry, Hickory, Holt, Jackson, Jasper, Johnson, Lafayette, Linn, Livingston, McDonald, Mercer, Morgan, Newton, Nodaway, Pettis, Platte, Putnam, Ray, St. Clair, Saline, Sullivan, Vernon, Worth"
,"Legal Services of Eastern Missouri, Inc.",https://lsem.org/get-help-now/,"Adair, Clark, Franklin, Jefferson, Knox, Lewis, Lincoln, Macon, Marion, Monroe, Montgomery, Pike, Ralls, St. Charles, St. Louis, Schuyler, Scotland, Shelby, Warren, Washington, St. Louis city"
,Legal Services of Southern Missouri,https://www.lsosm.org/applicants/,"Barry, Bollinger, Butler, Cape Girardeau, Carter, Cedar, Christian, Crawford, Dade, Dallas, Dent, Douglas, Dunklin, Gasconade, Greene, Howell, Iron, Laclede, Lawrence, Madison, Maries, Mississippi, New Madrid, Oregon, Ozark, Pemiscot, Perry, Phelps, Polk, Pulaski, Reynolds, Ripley, Ste. Genevieve, St. Francois, Scott, Shannon, Stoddard, Stone, Taney, Texas, Wayne, Webster, Wright"
,Mid-Missouri Legal Services Corporation,http://mmls.org/how-to-apply/,"Audrain, Boone, Callaway, Chariton, Cole, Cooper, Howard, Miller, Moniteau, Osage, Randolph"
MT,Montana Legal Services Association,https://www.mtlsa.org/apply-for-services/,All
NE,Legal Aid of Nebraska,https://www.legalaidofnebraska.org/contact/,All
NV,"Nevada Legal Services, Inc.",https://nlslaw.net/contact/,All
NH,"Legal Advice & Referral Center, Inc.",https://nhlegalaid.org/about/legal-advice-and-referral-center,All
NJ,"Central Jersey Legal Services, Inc.",https://www.lsnj.org/cjls/,"Mercer, Middlesex, Union"
,"Essex-Newark Legal Services Project, Inc.",https://www.lsnj.org/enls/,Essex
,Legal Services of Northwest Jersey,https://www.lsnj.org/lsnwj/,
,Northeast New Jersey Legal Services Corporation,https://www.northeastnjlegalservices.org/contactus,"Bergen, Hudson, Passaic"
,"South Jersey Legal Services, Inc.",https://www.lsnj.org/sjls/,"Monmouth, Ocean,Atlantic, Burlington, Camden, Cape May, Cumberland, Gloucester, Salem"
NM,New Mexico Legal Aid,https://www.newmexicolegalaid.org/,All
