State,Agency Name,URL,Counties Served
,Legal Aid Society of Middle Tennessee and the Cumberlands,https://las.org/find-help/,"Anderson, Bedford, Campbell, Cannon, Cheatham, Claiborne, Clay, Coffee, Cumberland, Davidson, DeKalb, Dickson, Fentress, Franklin, Giles, Grundy, Hickman, Houston, Humphreys, Jackson, Lawrence, Lewis, Lincoln, Macon, Marshall, Maury, Montgomery, Moore, Morgan, Overton, Perry, Pickett, Putnam, Roane, Robertson, Rutherford, Scott, Smith, Stewart, Sumner, Trousdale, Union, Van Buren, Warren, Wayne, White, Williamson, Wilson"
,"Memphis Area Legal Services, Inc.",http://www.malsi.org/client-services/,"Fayette, Lauderdale, Shelby, Tipton"
,"West Tennessee Legal Services, Inc.",https://www.wtls.org/apply-for-services/,"Benton, Carroll, Chester, Crockett, Decatur, Dyer, Gibson, Hardeman, Hardin, Haywood, Henderson, Henry, Lake, McNairy, Madison, Obion, Weakley"
TX,Legal Aid of NorthWest Texas,https://internet.lanwt.org/gethelp,"Andrews, Archer, Armstrong, Bailey, Baylor, Borden, Briscoe, Brown, Callahan, Carson, Castro, Childress, Clay, Cochran, Coke, Coleman, Collin, Collingsworth, Comanche, Concho, Cooke, Cottle, Crane, Crosby, Dallam, Dallas, Dawson, Deaf Smith, Denton, Dickens, Donley, Eastland, Ector, Ellis, Erath, Fannin, Fisher, Floyd, Foard, Gaines, Garza, Glasscock, Gray, Grayson, Hale, Hall, Hansford, Hardeman, Hartley, Haskell, Hemphill, Hockley, Hood, Howard, Hunt, Hutchinson, Irion, Jack, Johnson, Jones, Kaufman, Kent, King, Knox, Lamb, Lipscomb, Loving, Lubbock, Lynn, McCulloch, Martin, Menard, Midland, Mills, Mitchell, Montague, Moore, Motley, Nolan, Ochiltree, Oldham, Palo Pinto, Parker, Parmer, Potter, Randall, Reagan, Roberts, Rockwall, Runnels, San Saba, Schleicher, Scurry, Shackelford, Sherman, Somervell, Stephens, Sterling, Stonewall, Swisher, Tarrant, Taylor, Terry, Throckmorton, Tom Green, Upton, Ward, Wheeler, Wichita, Wilbarger, Winkler, Wise, Yoakum, Young"
,Lone Star Legal Aid,http://www.lonestarlegal.org/,"Anderson, Angelina, Austin, Bell, Bosque, Bowie, Brazoria, Brazos, Burleson, Camp, Cass, Chambers, Cherokee, Colorado, Coryell, Delta, Falls, Fayette, Fort Bend, Franklin, Freestone, Galveston, Gregg, Grimes, Hamilton, Hardin, Harris, Harrison, Henderson, Hill, Hopkins, Houston, Jasper, Jefferson, Lamar, Lampasas, Lee, Leon, Liberty, Limestone, McLennan, Madison, Marion, Matagorda, Milam, Montgomery, Morris, Nacogdoches, Navarro, Newton, Orange, Panola, Polk, Rains, Red River, Robertson, Rusk, Sabine, San Augustine, San Jacinto, Shelby, Smith, Titus, Trinity, Tyler, Upshur, Van Zandt, Walker, Waller, Washington, Wharton, Wood"
,"Texas RioGrande Legal Aid, Inc.",https://www.trla.org/help,"Aransas, Atascosa, Bandera, Bastrop, Bee, Bexar, Blanco, Brewster, Brooks, Burnet, Caldwell, Calhoun, Cameron, Comal, Crockett, Culberson, DeWitt, Dimmit, Duval, Edwards, El Paso, Frio, Gillespie, Goliad, Gonzales, Guadalupe, Hays, Hidalgo, Hudspeth, Jackson, Jeff Davis, Jim Hogg, Jim Wells, Karnes, Kendall, Kenedy, Kerr, Kimble, Kinney, Kleberg, La Salle, Lavaca, Live Oak, Llano, McMullen, Mason, Maverick, Medina, Nueces, Pecos, Presidio, Real, Reeves, Refugio, San Patricio, Starr, Sutton, Terrell, Travis, Uvalde, Val Verde, Victoria, Webb, Willacy, Williamson, Wilson, Zapata, Zavala,Native Americans living on the Eagle Pass/Kickapoo Reservation"
UT,"Utah Legal Services, Inc.",https://www.utahlegalservices.org/node/16/who-qualifies-get-help-utah-legal-services,All
VT,Legal Services Vermont,https://www.vtlegalaid.org/contact-locations,All
VI,"Legal Services of the Virgin Islands, Inc.",http://lsvilaw.org/what-we-do/intake-form/,All
VA,"Blue Ridge Legal Services, Inc.",http://brls.org/eligibility-how-to-apply-for-services/,"Alleghany, Augusta, Bath, Bedford, Botetourt, Clarke, Craig, Franklin, Frederick, Highland, Page, Roanoke, Rockbridge, Rockingham, Shenandoah, Warren, Bedford city, Buena Vista city, Clifton Forge city, Covington city, Harrisonburg city, Lexington city, Roanoke city, Salem city, Staunton city, Waynesboro city, Winchester city"
,"Central Virginia Legal Aid Society, Inc.",http://cvlas.org/how-to-apply-for-services/,"Albemarle, Charles City, Chesterfield, Dinwiddie, Fluvanna, Goochland, Greene, Hanover, Henrico, Louisa, Nelson, New Kent, Powhatan, Prince George, Surry, Charlottesville city, Colonial Heights city, Hopewell city, Petersburg city, Richmond city"
,Legal Aid Society of Eastern Virginia,https://www.laseva.org/node/17/apply-services-online,"Accomack, Gloucester, James City, Mathews, Middlesex, Northampton, York, Chesapeake city, Hampton city, Newport News city, Norfolk city, Poquoson city, Portsmouth city, Virginia Beach city, Williamsburg city"
,"Legal Services of Northern Virginia, Inc.",http://www.lsnv.org/get-help/how-do-i-apply/,"Arlington, Caroline, Culpeper, Essex, Fairfax, Fauquier, King and Queen, King George, King William, Lancaster, Loudoun, Madison, Northumberland, Orange, Prince William, Rappahannock, Richmond, Spotsylvania, Stafford, Westmoreland, Alexandria city, Fairfax city, Falls Church city, Fredericksburg city, Manassas city, Manassas Park city"
,"Southwest Virginia Legal Aid Society, Inc.",https://www.swvalegalaid.org/blank-3,"Bland, Buchanan, Carroll, Dickenson, Floyd, Giles, Grayson, Lee, Montgomery, Pulaski, Russell, Scott, Smyth, Tazewell, Washington, Wise, Wythe, Bristol city, Galax city, Norton city, Radford city"
,"Virginia Legal Aid Society, Inc.",http://vlas.org/get-legal-help/ways-to-apply/,"Amelia, Amherst, Appomattox, Brunswick, Buckingham, Campbell, Charlotte, Cumberland, Greensville, Halifax, Henry, Isle of Wight, Lunenburg, Mecklenburg, Nottoway, Patrick, Pittsylvania, Prince Edward, Southampton, Sussex, Danville city, Emporia city, Franklin city, Lynchburg city, Martinsville city, Suffolk city"
WA,Northwest Justice Project,https://nwjustice.org/get-legal-help,All
WV,"Legal Aid of West Virginia, Inc.",https://www.lawv.net/Get-Help/Apply-for-Help,All
WI,"Legal Action of Wisconsin, Inc.",https://www.legalaction.org/contact-us,"Adams, Brown, Buffalo, Calumet, Columbia, Crawford, Dane, Dodge, Door, Fond du Lac, Grant, Green, Green Lake, Iowa, Jackson, Jefferson, Juneau, Kenosha, Kewaunee, La Crosse, Lafayette, Manitowoc, Marquette, Milwaukee, Monroe, Outagamie, Ozaukee, Racine, Richland, Rock, Sauk, Sheboygan, Trempealeau, Vernon, Walworth, Washington, Waukesha, Waushara, Winnebago"
,"Wisconsin Judicare, Inc.",http://www.judicare.org/Content/How_to_Apply.cfm,"Ashland, Barron, Bayfield, Burnett, Chippewa, Clark, Douglas, Dunn, Eau Claire, Florence, Forest, Iron, Langlade, Lincoln, Marathon, Marinette, Menominee, Oconto, Oneida, Pepin, Pierce, Polk, Portage, Price, Rusk, St. Croix, Sawyer, Shawano, Taylor, Vilas, Washburn, Waupaca, Wood,Native Americans living in all counties in Wisconsin, including the Indian Country of the Menominee, Stockbridge-Munsee, Ho-Chunk, Potawatomi, Lac du Flambeau, Oneida, Mole Lake, Lac Courte Oreilles, St.Croix, Bad River, and Red Cliff"
WY,"Legal Aid of Wyoming, Inc.",https://www.lawyoming.org/apply-online,All
